Resource Name,Domain,Resource/Workshop,Type of Resource,Other language(s),URL,Image,Description,Author/Originator,Curriculum Links,Age Range,Curriculum Support Link?,Workshop Duration
Black Hole Hunter,Gravitational Waves,Resource,Online activity,,http://www.blackholehunter.org/,blackholehunter_logo.jpg,"Can you detect a gravitational wave? In Black Hole Hunter, your objective is to listen to gravitational wave detector data and determine whether or not you can hear the given gravitational wave signal in the sound file, or whether it is just noise.",LIGO/Cardiff University,Black Holes; Gravitational Waves; Fun Learning,11-14; 14-16; 16-18; >18,,
Black Hole Bubble Plot,Gravitational Waves,Resource,Web-tool,,http://chrisnorth/github.io/plotgw/bhbubble.html,bhbubble_logo.png,"LIGO is by no means the first experiment to detect black holes, with x-ray measurements suggesting their presence. This simple web-tool compares the sizes and masses of known black holes.",Chris North (Cardiff University),Black Holes; Gravitational Waves; Scientific Data,14-16; 16-18; >18,,
LIGO Compact Binary Catalogue,Gravitational Waves,Resource,Web-tool,,http://chrisnorth.github.io/plotgw,plotgw_logo.png,The LIGO measurements reveal an awful lot about the black holes in the detected systems. This web-tool allows you to explore what we know in the form of an interactive graph.,Chris North (Cardiff University),Gravitational Waves; Topical Science,14-16; 16-18; >18,,
Gravoscope,Gravitational Waves,Resource,Web-tool,,http://astrog80.astro.cf.ac.uk/Gravoscope/,gravoscope_logo.png,"Based on Chromoscope, Gravoscope shows the locations on the sky that detected gravitational waves originated.",Chris North (Cardiff University),Gravitational Waves,14-16; 16-18; >18,,
Searching for Gravitational Waves in Noisy Data,Gravitational Waves,,Printable activity,,http://cgwp.gravity.psu.edu/outreach/activities/template_activity/,,,Penn State University,Gravitational Waves; Digital Literacy,14-16; 16-18; >18,,
Hands-on Gravitational Wave Astronomy: Extraction of Astrophysical Information from Simulated Signals,Gravitational Waves,,Printable activity,,http://cgwp.gravity.psu.edu/outreach/activities/handson_activity/,,,Penn State University,Gravitational Waves; Digital Literacy,14-16; 16-18; >18,,
LIGO Star Chart,Gravitational Waves,,,,https://dcc.ligo.org/LIGO-T1400763/public,,,,,,,
The LIGO Cyberspace Explorer,Gravitational Waves,,,,https://dcc.ligo.org/LIGO-T1400761/public,,,,,,,
Swing into the Scientific Method,Gravitational Waves,,,,https://dcc.ligo.org/LIGO-T1400765/public,,,,,,,
Build Your Own Michelson Interferometer (Glue),Gravitational Waves,,,,https://dcc.ligo.org/LIGO-T1400762/public,,,,,,,
Build Your Own Michelson Interferometer (Magnets),Gravitational Waves,,,,https://dcc.ligo.org/LIGO-T0900393/public,,,,,,,
Build and Use a Simple Spectroscope,Gravitational Waves,,,,https://dcc.ligo.org/LIGO-T1400766/public,,,,,,,
Powers of Two,Gravitational Waves,,,,https://dcc.ligo.org/LIGO-T1400764/public,,,,,,,
LIGO Classroom Activities,Gravitational Waves,Resource,Various,,https://www.ligo.caltech.edu/page/classroom-activities,ligologo.png,A range of classroom activities created by the LIGO community,LIGO Collaboration,Gravitational Waves; Digital Literacy,14-16; 16-18; >18,,
LIGO Science Summaries,Gravitational Waves,Resource,News service,,http://www.ligo.org/science/outreach.php,ligologo.png,Summaries of the LIGO science and technology explained for a general audience,LIGO Collaboration,Topical Science,14-16; 16-18; >18,,
Star in a box,Astronomy,Resource,Online activity; Printable activity,,http://blogs.cardiff.ac.uk/physicsoutreach/resources/star-in-a-box/,SIAB_logo.png,Explore the lifecycle of stars in an interactive Hertzsprung-Russell diagram.,Edward Gomez (LCO),Life cycle of stars; Digital Literacy; Numeracy,14-16; 16-18; >18,,
Chromoscope,Astronomy,Resource,Web-tool,,http://blogs.cardiff.ac.uk/physicsoutreach/resources/chromoscope/,Chromoscope_logo.png,Chromoscope lets you explore our Galaxy (the Milky Way) and the distant Universe in a range of wavelengths from gamma-rays to the longest radio waves.,Chris North; Stuart Lowe; Rob Simpson,Electromagnetic Spectrum,11-14; 14-16; 16-18; >18,,
Space Telescope Designer,Astronomy,Resource,Online activity,,http://herschel.cf.ac.uk/activity/space-telescope,spacetel-icon1.jpg,"Design your own space telescope, based on a range of ""mission scenarios"". You need to select the size of the mirror, the instruments, from where it will be launched, where it will orbit, and even the rocket you'll use.",Chris North (Cardiff University); Stuart Lowe,Electromagnetic Spectrum; Satellite; Literacy ; Digital Literacy,14-16; 16-18; >18,,
CMB Simulator,Astronomy,Resource,Web-tool,,https://chrisnorth.github.io/planckapps/Simulator/,cmbsim-logo3.png,"Adjust the parameters of your similated Universe and see their effects on the Cosmic Microwave Background. Can you recreate our real Universe, as measured by the Planck Satellite?",Chris North (Cardiff University); Stuart Lowe,Cosmic Microwave Background; Dark Energy; Dark Matter,14-16; 16-18; >18,,
Multiwavelength Universe: Online Activity,Astronomy,Resource,Online activity,,http://herschel.cf.ac.uk/activity/multiwavelength,Chromoscope_faded_thumbnail.png,What do different astronomical objects look like when seen in different parts of the electromagnetic spectrum? Match them up and explore the differences using this online activity.,Chris North (Cardiff University); Stuart Lowe,Electromagnetic Spectrum; Literacy; Digital Competancy,7-9; 9-11; 11-14; 14-16; 16-18,,
Multiwavelength Universe (printable),Astronomy,Resource,Printable activity,,http://blogs.cardiff.ac.uk/physicsoutreach/resources/multiwavelength-universe-printable/,Chromoscope_faded_thumbnail.png,What do different astronomical objects look like when seen in different parts of the electromagnetic spectrum? Match them up and explore the differences using these printed resources.,Chris North (Cardiff University),Electromagnetic Spectrum; Literacy; Digital Competancy,7-9; 9-11; 11-14; 14-16; 16-18,,
Agent ExoPlanet,Astronomy,Resource,Online activity,,http://blogs.cardiff.ac.uk/physicsoutreach/resources/agent-exoplanet/,AgentExoplanet_logo.jpg,Find and investigate exoplanets using data from the LCO's network of telescopes.,Edward Gomez (LCO),Exoplanets; Numeracy; Digital Literacy,14-16; 16-18,,
Gravity and Cosmology,Astronomy,Resource,Computer-based activity,,http://blogs.cardiff.ac.uk/physicsoutreach/resources/heavens-kitchen/,HK_screenshot_small.jpg,"Ranging from scales in the Universe, to how we measure the masses of stars and planets from observations, to Dark Matter and the Cosmic Microwave Background, this group of resources encompasses a large range of topics.",Chris North (Cardiff University),Gravity; Scales of the Universe; Numeracy; Redshift; Dark Matter,14-16; 16-18; >18,,
Pitch Perfect Physics,Physics,Resource,Printable activity,,http://blogs.cardiff.ac.uk/physicsoutreach/resources/pitch-perfect-physics/,wave.png,Investigate the relationship between frequency and wavelength leading to the equation c = frequency x wavelength using fun demonstrations based on sound.,Megan Davies (Cardiff University),Sound; Waves; Practical Physics,14-16,,
Teapots From Space,Astronomy,Resource,Podcast/Video,,https://lco.global/teapotsfromspace/,TeapotsFromSpace_logo.png,Video podcasts detailing the reports created by alien life when Earth is attacked by Teapots from Space.,Edward Gomez (LCO),Astronomy; Fun learning,11-14; 14-16; 16-18,,
Cassiopeia A in Many Colours,Astronomy,,,,http://lcogt.net/education/activity/cassiopeia-many-colors,,,,,,,
Messier Bingo,Astronomy,Resource,Online activity,,http://lcogt.net/education/messierbingo,MessierBingo_logo.png,"Play Bingo with astronomical objects. Discover the different appearances of planetary nebula, galaxies, supernovae and star clusters by playing this fun game",Edward Gomez (LCO),Astronomy; Fun Learning,7-9; 9-11; 11-14; 14-16; 16-18,,
Space Scoop,Astronomy,Resource,News service,"<a href=""https://www.universe.wales"">Various</a>",www.spacescoop.org,spacescooplogo.png,News from across the cosmos for kids all around the world! (Suitable for ages 8+),Sarah Eve Roberts; Universe Awareness,Topical Science,7-9; 9-11; 11-14; 14-16,,
Mysteries of the Cold Universe,Astronomy,Resource,School Show,,http://www.sciencemadesimple.co.uk/shows/secondary/herschel,InteractiveShow_MysteriesoftheColdUniverse_logo.png,Find out why we need to view stars from space and what scientists hope to discover in this interactive show created by science made simple.,ScienceMadeSimple,Electromagnetic Spectrum; Satellite,11-14; 14-16; 16-18,,
How to build a particle collider,Physics,,,,http://www.astro.cardiff.ac.uk/forteachersandschools/?page=higgs,,,,,,,
Pythagorean Astronomy,Astronomy,Resource,Podcast/Video,,http://blogs.cardiff.ac.uk/physicsoutreach/category/media/pythagorean-astronomy/,pythag_logo.png,A monthly astronomy podcast covering astronomy news from around the world,Chris North; Edward Gomez,Topical Science,11-14; 14-16; 16-18,,
Star in a Box,Astronomy,Workshop,Workshop,,,SIAB_logo.png,"Explore the lifecycle of stars by creating a class Hertzsprung-Russell diagram, and then investigating with an interactive version in the 'Star in a Box' app",Chris North (Cardiff University); Edward Gomez,Life Cycle of Stars; Numeracy; Digital Literacy,14-16; 16-18,,1-2 hours
Stars as Black Bodies,Astronomy,Workshop,Workshop,,,SIAB_logo.png,"Explore stars as examples of black body emitters, using real data about stars and simulated data from Star in a Box",Chris North (Cardiff University),Black Body Radiation; Numeracy; Digital Literacy,16-18,,1-2 hours
Design a Space Telescope,Astronomy,Workshop,Workshop,,,spacetel-icon1.jpg,"Design your own space telescope, based on a range of ""mission scenarios"". You need to select the size of the mirror, the instruments, where it will be launched from and were it will orbit, and even the rocket you'll use.",Chris North (Cardiff University),Electromagnetic Spectrum; Satellites; Rockets; Literacy; Digital Literacy,14-16; 16-18,,1-2 hours
